team,season,matches,wins,win_rate,total_runs,total_wickets,avg_sr,avg_econ
New Zealand,2006/07,28,15,53.57,5931,189,55.20269230769231,2.5729166666666665
New Zealand,2007/08,14,7,50.0,2716,82,52.64375,2.641875
New Zealand,2008,5,3,60.0,941,40,52.771071428571425,2.5698214285714287
New Zealand,2008/09,12,4,33.33,1937,61,50.78758064516129,3.1904032258064516
New Zealand,2009,2,0,0.0,252,11,45.700909090909086,2.4968181818181816
New Zealand,2009/10,16,10,62.5,3561,115,68.2606111111111,2.537888888888889
New Zealand,2010,4,1,25.0,541,29,50.870769230769234,2.451794871794872
New Zealand,2010/11,23,7,30.43,4475,148,60.633223140495865,2.881115702479339
New Zealand,2011/12,9,5,55.56,2374,60,73.60295918367348,3.032448979591837
New Zealand,2012,5,1,20.0,1084,32,62.08660714285714,2.954107142857143
New Zealand,2012/13,10,3,30.0,1893,57,60.58132075471698,2.965471698113207
New Zealand,2013,6,3,50.0,1107,46,50.676,3.2476923076923074
New Zealand,2013/14,15,7,46.67,3225,102,65.7429090909091,3.103030303030303
New Zealand,2014/15,25,16,64.0,5800,181,64.75874524714828,2.945703422053232
New Zealand,2015,11,5,45.45,2898,73,68.66366666666666,3.63775
New Zealand,2015/16,10,7,70.0,2213,74,72.92999999999999,2.5081904761904763
New Zealand,2016/17,18,9,50.0,3969,118,58.86050505050505,2.8141919191919196
New Zealand,2017,7,3,42.86,1849,48,76.04883116883117,2.6449350649350647
New Zealand,2017/18,16,11,68.75,3959,115,67.13568181818181,2.5667613636363638
New Zealand,2018/19,14,8,57.14,3195,102,67.71073333333334,2.6411333333333333
New Zealand,2019,9,5,55.56,1875,72,58.08612244897959,2.8429591836734693
New Zealand,2019/20,4,3,75.0,1045,26,67.33863636363637,2.805454545454545
New Zealand,2020/21,3,3,100.0,685,23,66.38483870967741,2.1093548387096774
New Zealand,2021/22,3,3,100.0,741,29,65.43,2.2275757575757575
New Zealand,2022,10,6,60.0,2354,76,63.32390909090909,2.6784545454545454
New Zealand,2022/23,11,5,45.45,2249,67,51.14956896551725,2.7649137931034486
New Zealand,2023,12,4,33.33,2699,78,63.17387596899225,2.967751937984496
New Zealand,2023/24,12,6,50.0,3035,80,65.98728682170542,3.580852713178295
New Zealand,2024/25,6,2,33.33,1009,37,60.96465517241379,2.472413793103448
Oman,2019,5,3,60.0,772,39,35.75036363636364,2.618363636363636
Oman,2019/20,6,5,83.33,1313,52,57.46714285714285,3.344603174603175
Oman,2021,7,4,57.14,1103,46,52.542957746478876,2.5759154929577464
Oman,2021/22,9,3,33.33,1892,68,55.881919191919195,3.056363636363636
Oman,2022,8,4,50.0,1699,65,54.69719101123596,2.874494382022472
